Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Pde3b	3.72E-24	0.15860439	0.46	0.389	4.84E-20
Wbp2	3.89E-24	0.178682796	0.281	0.166	5.05E-20
Timm13	4.83E-24	-0.142203814	0.563	0.635	6.28E-20
Myo1g	6.42E-24	0.139093527	0.489	0.421	8.34E-20
Setd5	6.72E-24	0.132185143	0.512	0.437	8.73E-20
Rab8a	7.97E-24	0.127376687	0.446	0.376	1.04E-19
Cdc42se1	8.29E-24	0.138505145	0.365	0.282	1.08E-19
Ndufa6	9.53E-24	0.124021112	0.544	0.475	1.24E-19
Xpot	1.15E-23	-0.179599561	0.19	0.299	1.50E-19
Ap2b1	1.24E-23	0.126562882	0.494	0.43	1.61E-19
Sash3	1.45E-23	0.148314078	0.332	0.242	1.88E-19
Rps6	1.68E-23	-0.109858179	0.995	0.996	2.19E-19
N4bp2l1	1.70E-23	0.158829837	0.31	0.218	2.21E-19
Cmtm7	1.78E-23	0.131934112	0.453	0.387	2.31E-19
Abcf1	1.83E-23	-0.153120901	0.541	0.613	2.38E-19
Aen	1.87E-23	-0.189293882	0.164	0.29	2.43E-19
Tgif1	2.13E-23	0.136883275	0.622	0.565	2.76E-19
Rnmt	2.47E-23	-0.16872954	0.21	0.316	3.21E-19
Gapdh	2.67E-23	0.125716429	0.688	0.652	3.47E-19
Sgms1	2.68E-23	0.169537089	0.292	0.198	3.48E-19
Ubr2	3.14E-23	0.13136993	0.42	0.349	4.08E-19
Chic2	3.27E-23	0.135862814	0.367	0.28	4.25E-19
Tubb4b	3.54E-23	0.13556908	0.578	0.521	4.60E-19
Golgb1	3.88E-23	0.141562732	0.396	0.322	5.04E-19
Rps4x	4.08E-23	-0.103632591	0.996	0.997	5.30E-19
Flna	4.19E-23	0.141873087	0.419	0.355	5.45E-19
Polr2e	4.49E-23	-0.143346856	0.417	0.496	5.84E-19
Tnfrsf13c	4.73E-23	0.160036293	0.686	0.642	6.14E-19
Slbp	5.02E-23	0.142342941	0.339	0.255	6.52E-19
Lrpprc	5.17E-23	-0.170506483	0.208	0.311	6.72E-19
Rb1cc1	6.36E-23	0.139138894	0.45	0.379	8.26E-19
Dennd5a	6.70E-23	0.152822008	0.317	0.231	8.70E-19
Manf	8.77E-23	0.145522156	0.468	0.42	1.14E-18
Rad21	8.89E-23	0.132323623	0.381	0.293	1.16E-18
Adprh	8.90E-23	0.160466666	0.291	0.196	1.16E-18
Phgdh	1.09E-22	-0.256186211	0.102	0.242	1.41E-18
Zc3h15	1.37E-22	-0.156317556	0.632	0.682	1.79E-18
Arid1a	1.40E-22	0.127257343	0.549	0.496	1.82E-18
Tmem50a	1.52E-22	0.140242726	0.339	0.246	1.97E-18
Crtc2	1.52E-22	0.128840831	0.398	0.329	1.97E-18
Cst3	1.66E-22	0.143188091	0.43	0.353	2.16E-18
Vezf1	1.77E-22	0.131462696	0.403	0.331	2.29E-18
Cep350	1.86E-22	0.137019298	0.381	0.304	2.42E-18
Wbp11	1.97E-22	0.123846508	0.566	0.497	2.57E-18
Snx9	2.04E-22	0.130413391	0.524	0.462	2.65E-18
Sp110	2.18E-22	0.136888932	0.482	0.417	2.83E-18
Mbd3	2.21E-22	-0.143975676	0.298	0.385	2.88E-18
Exosc1	2.34E-22	-0.157317901	0.234	0.331	3.05E-18
Cnp	2.36E-22	0.141321639	0.375	0.292	3.06E-18
Mast4	3.26E-22	0.164416227	0.29	0.199	4.24E-18
Numa1	3.48E-22	0.127901767	0.451	0.382	4.52E-18
Smc4	3.57E-22	0.144595979	0.365	0.285	4.64E-18
Dusp5	3.63E-22	0.189355569	0.265	0.173	4.72E-18
Neurl3	4.14E-22	0.167979613	0.444	0.376	5.38E-18
Spi1	4.22E-22	0.144361435	0.319	0.228	5.48E-18
Flii	4.38E-22	0.130370571	0.37	0.292	5.69E-18
Brix1	4.51E-22	-0.147515032	0.255	0.35	5.85E-18
Capns1	4.65E-22	0.127784744	0.382	0.297	6.05E-18
Tnrc6c	5.21E-22	0.135405614	0.528	0.467	6.77E-18
Was	5.47E-22	0.133749	0.349	0.261	7.11E-18
Cox5b	5.77E-22	0.113826403	0.737	0.682	7.50E-18
Rcl1	7.00E-22	-0.220098438	0.119	0.262	9.10E-18
Snf8	8.56E-22	0.120006334	0.423	0.351	1.11E-17
Hirip3	1.07E-21	-0.203397448	0.15	0.269	1.40E-17
Myo1e	1.35E-21	0.144427455	0.37	0.298	1.76E-17
Rftn1	1.44E-21	0.122369531	0.581	0.527	1.87E-17
Cnot6l	1.51E-21	0.131553123	0.551	0.49	1.96E-17
Rsf1	1.56E-21	0.127937346	0.429	0.36	2.03E-17
Ankrd44	1.73E-21	0.152670329	0.322	0.227	2.25E-17
Pus1	1.81E-21	-0.166652885	0.19	0.304	2.35E-17
Rpl36	1.86E-21	-0.091457949	1	0.998	2.41E-17
Ptk2b	2.34E-21	0.149756713	0.315	0.224	3.04E-17
R3hdm2	2.35E-21	0.129548851	0.359	0.281	3.05E-17
Zfp950	2.42E-21	0.143439608	0.332	0.256	3.14E-17
Mthfd2	2.81E-21	-0.197376958	0.174	0.282	3.65E-17
Kdm2a	2.83E-21	0.125373739	0.479	0.409	3.67E-17
Nsrp1	2.85E-21	0.130621433	0.377	0.31	3.70E-17
Aes	2.86E-21	0.121487893	0.436	0.37	3.72E-17
Xrn2	3.09E-21	-0.144190622	0.587	0.658	4.02E-17
Tnfaip3	3.20E-21	0.14378105	0.462	0.402	4.16E-17
Hadha	3.25E-21	0.124201884	0.4	0.332	4.22E-17
Ola1	3.38E-21	-0.145008795	0.263	0.353	4.39E-17
Rapgef1	3.43E-21	0.126124402	0.468	0.412	4.45E-17
Mrpl36	3.99E-21	-0.14300301	0.292	0.375	5.19E-17
Dnajb6	4.06E-21	0.117611018	0.545	0.486	5.27E-17
Hnrnpul2	4.32E-21	0.122139221	0.597	0.534	5.61E-17
Zc3h12a	4.46E-21	0.124464008	0.527	0.466	5.80E-17
Ptp4a2	4.77E-21	0.119109514	0.832	0.807	6.19E-17
Smarce1	5.31E-21	0.117315898	0.522	0.446	6.90E-17
Ankrd13a	5.87E-21	0.137569225	0.317	0.24	7.63E-17
Tmem234	6.11E-21	0.120123138	0.594	0.528	7.94E-17
5031425E22Rik	6.19E-21	0.124682163	0.409	0.339	8.05E-17
Cxcr4	6.67E-21	0.173421484	0.386	0.313	8.67E-17
Rps19	6.74E-21	-0.084412199	1	1	8.76E-17
Usp9x	7.10E-21	0.121365467	0.468	0.4	9.23E-17
Gemin5	7.20E-21	-0.216051332	0.122	0.26	9.36E-17
Anapc5	7.63E-21	-0.149028302	0.244	0.335	9.92E-17
Prpf6	8.01E-21	0.136941349	0.317	0.23	1.04E-16
C1galt1	8.18E-21	0.127686904	0.376	0.302	1.06E-16
Rpf2	8.96E-21	-0.174467614	0.177	0.294	1.16E-16
Nfatc3	8.96E-21	0.130204836	0.531	0.477	1.16E-16
Mbnl1	9.07E-21	0.131744808	0.76	0.706	1.18E-16
Nars	9.21E-21	-0.168524203	0.523	0.593	1.20E-16
Kmt5b	9.40E-21	0.127949594	0.372	0.298	1.22E-16
Uri1	9.79E-21	-0.150743654	0.241	0.334	1.27E-16
Gbp5	1.05E-20	0.190038711	0.254	0.163	1.37E-16
Ubxn2a	1.10E-20	0.131327471	0.42	0.36	1.43E-16
Gramd3	1.13E-20	0.125768421	0.473	0.411	1.47E-16
Churc1	1.15E-20	0.146851532	0.298	0.205	1.49E-16
Cox4i1	1.17E-20	0.10438402	0.871	0.839	1.52E-16
1-Sep	1.20E-20	0.120506934	0.526	0.458	1.55E-16
Chd6	1.23E-20	0.127110736	0.408	0.35	1.59E-16
Dars	1.25E-20	-0.144284827	0.262	0.345	1.62E-16
Rangap1	1.41E-20	-0.140657852	0.31	0.381	1.83E-16
Baz1a	1.70E-20	0.129375869	0.666	0.622	2.20E-16
Rbm17	2.89E-20	-0.14904014	0.499	0.562	3.75E-16
Mtf2	3.03E-20	0.123653133	0.377	0.307	3.93E-16
Gtf2a1	3.09E-20	0.146547264	0.297	0.215	4.02E-16
Med12	3.32E-20	0.127440942	0.346	0.269	4.32E-16
Ppp4c	3.56E-20	0.114976169	0.48	0.417	4.63E-16
Hectd1	3.66E-20	0.115543523	0.583	0.521	4.76E-16
Map4k2	3.96E-20	0.130647907	0.341	0.256	5.15E-16
BC003965	4.10E-20	-0.152963061	0.208	0.314	5.33E-16
Rwdd1	5.09E-20	-0.133128031	0.392	0.454	6.62E-16
Nr4a1	5.47E-20	0.218699837	0.36	0.283	7.11E-16
Trip11	6.49E-20	0.124393796	0.446	0.38	8.44E-16
Psmb1	6.52E-20	0.10930572	0.66	0.603	8.48E-16
Erp44	6.82E-20	0.125396274	0.361	0.298	8.87E-16
Supt20	6.84E-20	0.117487295	0.427	0.36	8.89E-16
Hip1r	6.99E-20	0.12684032	0.354	0.272	9.09E-16
Nr2c2ap	7.57E-20	-0.146956039	0.232	0.332	9.84E-16
Fam204a	7.73E-20	0.126469269	0.346	0.272	1.00E-15
2700038G22Rik	9.25E-20	-0.210343977	0.121	0.259	1.20E-15
Rbms1	9.38E-20	0.138797343	0.325	0.246	1.22E-15
Atp2a2	1.08E-19	-0.139626698	0.315	0.404	1.41E-15
Tapbp	1.15E-19	0.115613232	0.48	0.419	1.50E-15
Cdk13	1.17E-19	0.117577376	0.489	0.42	1.52E-15
Naa25	1.23E-19	-0.187537375	0.151	0.27	1.60E-15
Psma1	1.23E-19	0.112343127	0.556	0.499	1.60E-15
Sptan1	1.26E-19	0.122086903	0.39	0.323	1.63E-15
Edf1	1.27E-19	0.105280294	0.755	0.702	1.66E-15
Smc6	1.29E-19	0.127364997	0.507	0.469	1.67E-15
Sipa1	1.34E-19	0.139984127	0.32	0.234	1.74E-15
Lrif1	1.45E-19	0.131444676	0.347	0.282	1.89E-15
Rasa2	1.46E-19	0.126303513	0.413	0.346	1.89E-15
Atp5j2	1.55E-19	0.106436675	0.75	0.698	2.01E-15
Gabpb2	1.81E-19	0.12403349	0.412	0.344	2.35E-15
Arf3	2.01E-19	0.134698535	0.307	0.226	2.61E-15
Bptf	2.14E-19	0.131337664	0.718	0.674	2.78E-15
Tgoln1	2.49E-19	0.118960093	0.388	0.327	3.24E-15
Nol6	2.69E-19	-0.18629984	0.153	0.267	3.50E-15
Eif1ax	2.91E-19	-0.13259324	0.435	0.507	3.79E-15
Pdcd10	2.98E-19	0.111349403	0.477	0.408	3.88E-15
Foxo1	3.11E-19	0.12738011	0.381	0.308	4.04E-15
Hmgcr	3.68E-19	0.126525926	0.518	0.474	4.78E-15
Ppp4r3b	3.74E-19	0.11379259	0.561	0.509	4.86E-15
Gatad2b	3.88E-19	0.11825878	0.518	0.45	5.04E-15
Lpcat1	3.97E-19	0.118784648	0.474	0.414	5.16E-15
Mettl16	4.28E-19	-0.137901453	0.269	0.351	5.56E-15
Agpat5	4.92E-19	-0.227082794	0.102	0.247	6.40E-15
Ipo4	5.32E-19	-0.224397257	0.101	0.25	6.91E-15
Emd	5.39E-19	0.118315263	0.365	0.3	7.01E-15
Ncor1	5.46E-19	0.115193181	0.749	0.704	7.10E-15
Ncf4	5.54E-19	0.123592186	0.355	0.288	7.19E-15
Sp100	5.82E-19	0.140579939	0.465	0.387	7.56E-15
Qk	5.93E-19	0.116114645	0.453	0.39	7.71E-15
Uba1	6.32E-19	0.111177752	0.474	0.412	8.22E-15
Cntrl	6.35E-19	0.123933735	0.401	0.333	8.25E-15
Rps19bp1	7.63E-19	-0.134624123	0.284	0.364	9.91E-15
Dbi	7.79E-19	0.131336193	0.325	0.25	1.01E-14
Cd48	8.62E-19	0.15562141	0.275	0.199	1.12E-14
Ndufa2	9.99E-19	0.107590274	0.677	0.619	1.30E-14
Stxbp2	1.10E-18	0.144053287	0.283	0.193	1.43E-14
Ncf2	1.15E-18	0.163135778	0.267	0.167	1.49E-14
Baz2a	1.26E-18	0.119588816	0.366	0.293	1.64E-14
Cd36	1.30E-18	0.242819893	0.195	0.109	1.69E-14
Zufsp	1.30E-18	0.127338198	0.53	0.463	1.69E-14
Cd180	1.44E-18	0.173511809	0.255	0.176	1.88E-14
Sf3b1	1.52E-18	0.109322819	0.797	0.754	1.97E-14
Trmt6	1.76E-18	-0.155014535	0.203	0.305	2.29E-14
Luc7l	1.78E-18	-0.133061575	0.279	0.359	2.31E-14
Tspan32	1.90E-18	0.133281768	0.318	0.231	2.47E-14
Psma5	2.04E-18	-0.122685549	0.396	0.466	2.65E-14
Atr	2.34E-18	-0.132394649	0.315	0.403	3.04E-14
Cox7a2l	2.42E-18	0.112491182	0.488	0.419	3.15E-14
mt-Cytb	2.64E-18	0.049285156	1	0.998	3.43E-14
Lap3	2.76E-18	-0.232126974	0.096	0.24	3.58E-14
Bcl2l1	3.04E-18	0.133112091	0.353	0.302	3.95E-14
Eftud2	3.21E-18	-0.125409621	0.31	0.386	4.17E-14
Clta	3.28E-18	0.104842745	0.653	0.598	4.27E-14
Stag1	3.59E-18	0.112565892	0.488	0.435	4.67E-14
Ccnl2	3.81E-18	0.109381032	0.506	0.435	4.95E-14
Marf1	4.44E-18	0.112099214	0.398	0.333	5.77E-14
Rbbp4	5.04E-18	0.106113736	0.574	0.518	6.55E-14
Ctdnep1	5.65E-18	0.12432295	0.32	0.24	7.34E-14
Emp3	5.92E-18	0.141728306	0.308	0.247	7.69E-14
Eif2b3	6.02E-18	-0.202347134	0.125	0.252	7.82E-14
Nfatc1	6.09E-18	0.146192075	0.287	0.219	7.92E-14
Zkscan3	6.37E-18	0.124268456	0.345	0.277	8.28E-14
Mysm1	6.47E-18	0.113752942	0.414	0.346	8.40E-14
Ash1l	6.51E-18	0.111267143	0.745	0.705	8.45E-14
Ddx39b	7.21E-18	-0.129179745	0.504	0.575	9.37E-14
Sod2	7.59E-18	-0.130818317	0.279	0.355	9.87E-14
Pwp1	8.08E-18	-0.167906881	0.174	0.281	1.05E-13
Yme1l1	8.34E-18	0.110431802	0.418	0.359	1.08E-13
Ggps1	8.86E-18	0.151396174	0.269	0.18	1.15E-13
Mycbp2	9.50E-18	0.121504435	0.684	0.656	1.23E-13
Imp3	9.68E-18	-0.122048218	0.323	0.394	1.26E-13
Ptges3	9.83E-18	-0.141966361	0.712	0.751	1.28E-13
Bri3bp	1.04E-17	-0.181074922	0.152	0.263	1.35E-13
Taz	1.06E-17	0.120921965	0.34	0.272	1.37E-13
Zhx2	1.06E-17	0.133990098	0.295	0.219	1.38E-13
Srp54a	1.20E-17	0.11705913	0.345	0.272	1.56E-13
Cyp51	1.25E-17	0.124214905	0.424	0.398	1.63E-13
Macf1	1.29E-17	0.137823725	0.493	0.409	1.68E-13
Herc1	1.30E-17	0.116975073	0.428	0.368	1.69E-13
Herc2	1.34E-17	0.115536144	0.378	0.305	1.74E-13
Trmt1l	1.43E-17	0.145128929	0.277	0.191	1.85E-13
Cetn2	1.68E-17	0.132588485	0.296	0.224	2.18E-13
Mrpl14	1.69E-17	0.125067309	0.31	0.237	2.19E-13
Swt1	1.85E-17	0.11296465	0.393	0.321	2.41E-13
Guk1	1.92E-17	-0.139006142	0.227	0.313	2.50E-13
Iah1	2.02E-17	0.148883433	0.276	0.196	2.62E-13
Pxk	2.40E-17	0.123824594	0.367	0.304	3.12E-13
Ubtf	2.68E-17	-0.144862906	0.515	0.579	3.48E-13
Ogdh	3.00E-17	0.106839211	0.456	0.396	3.90E-13
Rnps1	3.13E-17	-0.120265392	0.406	0.471	4.07E-13
Smim14	3.24E-17	0.117496328	0.423	0.343	4.21E-13
Gpsm3	3.55E-17	0.145743598	0.276	0.178	4.61E-13
Exosc7	3.72E-17	-0.15298107	0.19	0.287	4.83E-13
Psme1	3.86E-17	0.101608138	0.78	0.751	5.02E-13
Cotl1	3.97E-17	0.123863175	0.367	0.3	5.16E-13
Mrpl20	4.03E-17	-0.117246629	0.394	0.45	5.24E-13
Rpl18a	4.65E-17	0.051735402	1	0.999	6.04E-13
Dnajc21	5.67E-17	-0.129169232	0.301	0.389	7.37E-13
Smarcc2	6.44E-17	0.115736289	0.34	0.268	8.36E-13
Arhgap25	6.82E-17	0.14026856	0.283	0.205	8.87E-13
Sidt2	8.13E-17	0.127261391	0.296	0.215	1.06E-12
Tfe3	8.16E-17	0.136779151	0.285	0.2	1.06E-12
Fbxw2	8.41E-17	0.105955747	0.471	0.411	1.09E-12
Mkrn1	9.08E-17	0.114883798	0.335	0.258	1.18E-12
Wdfy4	9.67E-17	0.107784907	0.5	0.434	1.26E-12
Fam60a	1.05E-16	-0.215396542	0.103	0.239	1.36E-12
Kat6a	1.07E-16	0.110386518	0.411	0.34	1.39E-12
Rnf19b	1.20E-16	0.133311339	0.289	0.207	1.56E-12
Nol9	1.30E-16	-0.167563198	0.162	0.267	1.68E-12
Srp14	1.34E-16	0.100468748	0.552	0.502	1.74E-12
Phf3	1.43E-16	0.104970199	0.572	0.531	1.86E-12
Cggbp1	1.47E-16	0.10394559	0.472	0.416	1.92E-12
Gmip	1.52E-16	0.114399083	0.34	0.272	1.98E-12
Gls	1.61E-16	-0.123472796	0.418	0.489	2.09E-12
Tmem258	1.69E-16	0.100605204	0.592	0.532	2.20E-12
Gtf2i	1.77E-16	-0.172915595	0.15	0.267	2.30E-12
Mrps18b	1.88E-16	-0.138773011	0.215	0.304	2.44E-12
Sarnp	2.00E-16	0.103818887	0.429	0.367	2.60E-12
Mga	2.29E-16	-0.129754284	0.396	0.459	2.98E-12
Abcf2	2.31E-16	-0.132663965	0.234	0.317	3.00E-12
Tmod3	2.36E-16	0.104787472	0.451	0.392	3.07E-12
Myl12b	2.71E-16	0.117337516	0.335	0.272	3.52E-12
Ndufab1	2.75E-16	-0.115023032	0.418	0.482	3.57E-12
Eif2s3y	3.07E-16	-0.153512842	0.173	0.294	3.99E-12
Grwd1	3.17E-16	-0.187602808	0.128	0.253	4.12E-12
Ier2	3.28E-16	0.131438692	0.325	0.258	4.26E-12
Nob1	3.29E-16	-0.184970309	0.133	0.253	4.28E-12
Zc3h7a	3.88E-16	0.110833436	0.358	0.292	5.04E-12
Arpc5l	4.08E-16	0.113010223	0.424	0.367	5.30E-12
Elmo1	4.49E-16	-0.144539154	0.212	0.298	5.83E-12
Rbm42	5.50E-16	0.106374069	0.354	0.281	7.14E-12
Hsbp1	5.58E-16	0.106167434	0.361	0.298	7.26E-12
Rictor	5.62E-16	0.114779016	0.364	0.31	7.30E-12
Satb1	5.91E-16	0.179043325	0.545	0.488	7.68E-12
Thumpd1	6.17E-16	-0.141127573	0.217	0.299	8.02E-12
Fmnl3	6.53E-16	0.12876177	0.291	0.212	8.49E-12
Ndufb3	7.51E-16	0.105697625	0.366	0.304	9.76E-12
Dgkd	7.88E-16	0.111397339	0.448	0.392	1.02E-11
Wdr3	8.16E-16	-0.153193367	0.179	0.279	1.06E-11
AC149090.1	8.31E-16	0.129634163	0.416	0.334	1.08E-11
Susd6	9.56E-16	0.113174513	0.331	0.261	1.24E-11
Hnrnpa1	1.24E-15	-0.131297776	0.716	0.751	1.61E-11
Hspa8	1.38E-15	-0.178701894	0.965	0.964	1.80E-11
H2-M3	1.46E-15	0.20235347	0.226	0.098	1.90E-11
Rrp8	1.47E-15	-0.12918786	0.24	0.327	1.91E-11
Rtf2	1.50E-15	0.116463638	0.307	0.234	1.95E-11
Pnpla8	1.50E-15	0.122119874	0.311	0.243	1.95E-11
Trim27	1.62E-15	-0.119242922	0.287	0.362	2.11E-11
Lims1	1.72E-15	0.129505642	0.282	0.205	2.23E-11
Pxdc1	1.86E-15	0.146043949	0.262	0.181	2.41E-11
Smarca5	2.00E-15	0.094541121	0.818	0.774	2.60E-11
Atrx	2.04E-15	0.114605115	0.696	0.661	2.65E-11
Tob2	2.14E-15	0.121200473	0.326	0.275	2.78E-11
Rps9	2.19E-15	0.056709652	0.999	0.998	2.85E-11
Zfr	2.19E-15	0.104344982	0.391	0.34	2.85E-11
Farsa	2.20E-15	-0.128796538	0.236	0.317	2.86E-11
Ly9	2.26E-15	0.11136915	0.371	0.334	2.93E-11
Lsm4	2.34E-15	-0.116796531	0.566	0.622	3.04E-11
Ift140	2.91E-15	0.128109581	0.282	0.21	3.78E-11
Ubr4	2.97E-15	0.102345509	0.383	0.324	3.86E-11
Ndufs5	3.08E-15	0.096655178	0.434	0.368	4.01E-11
Gsk3a	3.21E-15	0.106393359	0.33	0.263	4.18E-11
Acin1	3.65E-15	0.096506565	0.764	0.736	4.75E-11
Fbrs	3.72E-15	0.122281042	0.287	0.212	4.83E-11
Atp2b1	3.72E-15	0.106315184	0.436	0.388	4.83E-11
Dad1	3.90E-15	0.091198466	0.722	0.671	5.06E-11
Brd8	4.26E-15	0.102282942	0.45	0.391	5.53E-11
Sh2b3	4.38E-15	0.107059017	0.355	0.3	5.70E-11
Birc3	4.47E-15	0.108672792	0.759	0.725	5.81E-11
Sfpq	4.64E-15	0.088496158	0.852	0.835	6.03E-11
Cdc37	4.67E-15	-0.121863549	0.548	0.598	6.06E-11
Mthfd1	4.70E-15	-0.224585706	0.086	0.229	6.11E-11
Cdc5l	4.90E-15	0.100848471	0.5	0.447	6.36E-11
Mir155hg	5.38E-15	0.125248238	0.584	0.551	6.99E-11
Mapk1	5.76E-15	0.098922882	0.414	0.352	7.48E-11
Prr14	5.87E-15	0.128414874	0.276	0.196	7.63E-11
Wbp4	6.49E-15	0.105720755	0.432	0.377	8.43E-11
Ssh2	7.07E-15	0.126342381	0.307	0.251	9.18E-11
Cwc15	7.63E-15	0.095773366	0.475	0.416	9.91E-11
Lpp	8.23E-15	0.136881498	0.27	0.199	1.07E-10
Tle4	9.75E-15	0.133393345	0.271	0.188	1.27E-10
Prorsd1	1.08E-14	0.124321683	0.282	0.205	1.40E-10
Dek	1.12E-14	0.101745791	0.67	0.625	1.46E-10
Ap3b1	1.15E-14	0.129747551	0.278	0.199	1.50E-10
Dnaja2	1.20E-14	-0.116705108	0.579	0.626	1.56E-10
Ddx39	1.31E-14	-0.112738807	0.336	0.394	1.71E-10
Erh	1.44E-14	-0.113924973	0.349	0.409	1.88E-10
Aimp1	1.67E-14	-0.11607721	0.473	0.524	2.17E-10
Angel2	1.72E-14	0.099192329	0.398	0.342	2.24E-10
Frg1	1.79E-14	0.098026604	0.376	0.314	2.33E-10
Ndufa12	1.89E-14	-0.109240419	0.359	0.422	2.45E-10
Zpr1	1.89E-14	-0.127721498	0.221	0.306	2.45E-10
Pdap1	1.92E-14	-0.12432414	0.501	0.553	2.50E-10
mt-Nd5	1.96E-14	0.079492508	0.96	0.95	2.54E-10
Iscu	2.28E-14	0.097977024	0.439	0.383	2.97E-10
Ino80d	2.69E-14	0.098416556	0.397	0.343	3.50E-10
Ube2d2a	2.79E-14	0.094201579	0.467	0.413	3.63E-10
Mrps5	2.83E-14	-0.115958245	0.281	0.352	3.67E-10
Rpl23	2.85E-14	-0.07296693	1	1	3.71E-10
Dusp11	2.96E-14	0.094354379	0.462	0.402	3.85E-10
Lpxn	3.01E-14	0.122746875	0.285	0.21	3.92E-10
Yrdc	3.04E-14	-0.125153955	0.229	0.307	3.95E-10
Ube2r2	3.11E-14	0.111014089	0.309	0.255	4.04E-10
Ppil2	3.18E-14	0.10624047	0.318	0.251	4.13E-10
Rps3	3.19E-14	-0.081135715	0.999	0.998	4.15E-10
Dnajc9	3.19E-14	0.111654566	0.302	0.229	4.15E-10
Sdha	3.65E-14	0.094089598	0.44	0.385	4.74E-10
U2af2	3.99E-14	-0.10879548	0.439	0.491	5.18E-10
Tbc1d20	4.16E-14	0.112104228	0.3	0.232	5.40E-10
Chchd1	4.18E-14	-0.107382241	0.393	0.443	5.43E-10
Lsg1	4.34E-14	-0.113156766	0.298	0.364	5.64E-10
Ensa	4.35E-14	0.101740276	0.357	0.296	5.65E-10
Ate1	4.42E-14	0.110618611	0.3	0.227	5.75E-10
Dnajc10	4.63E-14	0.139059642	0.255	0.169	6.02E-10
Klhl24	4.88E-14	0.115179465	0.324	0.259	6.34E-10
Zfp608	5.38E-14	0.162791456	0.23	0.145	7.00E-10
Cdc40	5.39E-14	0.095330004	0.43	0.377	7.00E-10
Epc1	5.58E-14	0.106937735	0.32	0.253	7.25E-10
Scp2	5.78E-14	0.101386653	0.339	0.278	7.51E-10
Ywhag	5.96E-14	-0.113317371	0.291	0.368	7.74E-10
Rnf145	6.06E-14	0.097585611	0.379	0.324	7.88E-10
Ptp4a3	6.34E-14	-0.113519834	0.458	0.528	8.24E-10
Pik3c2a	6.35E-14	0.140186915	0.255	0.167	8.26E-10
Cdkn1b	6.41E-14	0.13955699	0.259	0.167	8.33E-10
Ppp3ca	6.91E-14	0.121507199	0.641	0.603	8.97E-10
Eif6	6.91E-14	-0.105901597	0.439	0.491	8.98E-10
Ktn1	6.91E-14	0.10237185	0.515	0.484	8.98E-10
Mgea5	7.28E-14	0.109230694	0.316	0.253	9.46E-10
Trpc4ap	7.45E-14	0.096269802	0.373	0.313	9.68E-10
Ndufa7	8.49E-14	0.089843281	0.628	0.591	1.10E-09
Ppp2r1a	8.59E-14	0.094979234	0.382	0.324	1.12E-09
Herc4	8.87E-14	0.093736509	0.455	0.408	1.15E-09
Sh3glb1	8.90E-14	0.095391606	0.495	0.449	1.16E-09
Ppia	9.58E-14	-0.132248792	0.995	0.995	1.24E-09
Kif5b	1.08E-13	0.094177539	0.59	0.54	1.40E-09
Actn4	1.08E-13	0.095534704	0.384	0.33	1.41E-09
Chfr	1.11E-13	0.106509572	0.309	0.245	1.44E-09
Selplg	1.29E-13	0.135096461	0.259	0.192	1.68E-09
Wac	1.37E-13	0.094846589	0.467	0.411	1.79E-09
Snx6	1.43E-13	0.109297082	0.3	0.235	1.86E-09
Mfap1a	1.45E-13	0.152123488	0.241	0.144	1.88E-09
Sp3	1.45E-13	0.106589404	0.313	0.254	1.88E-09
Pias1	1.45E-13	0.109282748	0.298	0.236	1.89E-09
Sdc4	1.51E-13	0.116329842	0.539	0.492	1.96E-09
Stk10	1.60E-13	0.115059179	0.296	0.235	2.07E-09
Cd55	1.62E-13	0.119965587	0.354	0.286	2.10E-09
Tab2	1.64E-13	0.099106625	0.364	0.307	2.13E-09
Gtf3c6	1.67E-13	0.10347385	0.32	0.257	2.18E-09
Fyttd1	1.92E-13	0.101326641	0.371	0.314	2.50E-09
Brd4	2.00E-13	0.091337615	0.584	0.524	2.61E-09
Gm30211	2.11E-13	0.143593292	0.366	0.311	2.74E-09
Trim12c	2.21E-13	0.111249677	0.319	0.253	2.87E-09
Lsm3	2.34E-13	0.091099487	0.404	0.346	3.05E-09
Psmc3	2.39E-13	0.091288017	0.489	0.44	3.11E-09
Atp6v1g1	2.52E-13	0.086409871	0.567	0.523	3.28E-09
Kynu	2.58E-13	0.150922347	0.234	0.154	3.36E-09
mt-Nd2	2.66E-13	0.044562415	0.999	0.997	3.46E-09
Pum1	2.66E-13	-0.109913557	0.488	0.549	3.46E-09
Arl5c	2.67E-13	0.134370164	0.307	0.252	3.47E-09
Gps1	2.74E-13	-0.117146189	0.247	0.317	3.56E-09
Acap1	2.75E-13	0.137276855	0.252	0.163	3.57E-09
Pim1	2.78E-13	0.102402697	0.78	0.765	3.62E-09
Casp4	3.01E-13	0.152751591	0.236	0.158	3.91E-09
Mrpl19	3.09E-13	-0.128196131	0.214	0.296	4.02E-09
Psmd7	3.16E-13	-0.107164144	0.449	0.497	4.10E-09
Mff	3.46E-13	0.101220911	0.321	0.26	4.50E-09
Bysl	3.55E-13	-0.190369228	0.107	0.233	4.61E-09
Pqbp1	3.58E-13	0.110700136	0.294	0.225	4.65E-09
Bcl2l11	3.59E-13	0.122678399	0.377	0.352	4.67E-09
Idi1	3.69E-13	0.118851249	0.475	0.448	4.80E-09
