gid	dmso	jq1	chr	start	end	gname	else	dir	len	type	type2	LFC
3364	0.180212014134276	0.108771929824561	chr7	48002884	48019222	HUS1	0	-	16339	no	no	-0.728388897804842
3373	0.0114285714285714	0.0111607142857143	chr3	50337319	50349812	HYAL1	0	-	12494	no	no	-0.034215715337913
3376	0.0235924932975871	0.0134003350083752	chr9	94972489	95056038	IARS	0	-	83550	no	no	-0.816058824759502
3382	0.00965107646622123	0.0079155672823219	chr7	8152814	8302242	ICA1	0	-	149429	no	no	-0.285997120128724
3396	0.545871559633027	0.269121813031161	chr17	73008779	73017356	ICT1	0	+	8578	yes	down	-1.02030220347125
3398	1.86577181208054	0.558201058201058	chr2	8822112	8824583	ID2	0	+	2472	no	no	-1.74091578777523
3399	0.140625	0.156424581005587	chr1	23884420	23886285	ID3	0	-	1866	yes	down	0.153614143351035
3416	0.0197069226882264	0.0171905697445973	chr10	94211440	94333852	IDE	0	-	122413	no	no	-0.197085150945465
3417	0.0384615384615385	0.0137931034482759	chr2	209100950	209119867	IDH1	0	-	18918	no	no	-1.47946937187384
3418	0.674008810572687	0.160839160839161	chr15	90627210	90645786	IDH2	0	-	18577	no	no	-2.06714873612311
3419	0.261083743842365	0.0983050847457627	chr15	78441718	78462884	IDH3A	0	+	21167	no	no	-1.40917468649965
3420	0.301310043668122	0.108247422680412	chr20	2639040	2644865	IDH3B	0	-	5826	no	no	-1.47691608808959
3421	0.112359550561798	0.0784061696658098	chrX	153051220	153059978	IDH3G	0	-	8759	no	no	-0.51908367134427
3422	0.60427807486631	0.294460641399417	chr10	1085963	1095061	IDI1	0	-	9099	yes	up	-1.03713778594857
3423	0.17631103074141	0.0574516496018202	chrX	148560294	148586884	IDS	0	-	26591	no	no	-1.61770251590651
3425	0.0544388609715243	0.0331278890600925	chr4	980784	998345	IDUA	0	+	17562	no	no	-0.71659060506069
3430	0.276119402985075	0.105263157894737	chr17	41158741	41166476	IFI35	0	+	7736	no	no	-1.39129168861476
3433	0.0721649484536082	0.0181818181818182	chr10	91061705	91069033	IFIT2	0	+	7329	yes	down	-1.98880179339514
3434	0.0522875816993464	0.028169014084507	chr10	91152302	91166244	IFIT1	0	+	13943	yes	down	-0.89235927681203
3437	0.0272727272727273	0.0416666666666667	chr10	91087575	91100725	IFIT3	0	+	13151	yes	down	0.611434712082347
3454	0.0278450363196126	0.0276190476190476	chr21	34697213	34732128	IFNAR1	0	+	34916	no	no	-0.0117566020634803
3455	0.0602125147579693	0.0285062713797035	chr21	34602199	34636818	IFNAR2	0	+	34620	no	no	-1.07878402530931
3459	0.413333333333333	0.0958333333333333	chr6	137518620	137540567	IFNGR1	0	-	21948	no	no	-2.1087062594425
3460	0.0149659863945578	0.0065554231227652	chr21	34775201	34809828	IFNGR2	0	+	34628	no	no	-1.1909265607161
3475	0.000552486187845304	0.00057323015190599	chr7	112063198	112117258	IFRD1	0	+	54061	no	no	0.053176099776193
3476	0.0217821782178218	0.0199692780337942	chrX	69353317	69386173	IGBP1	0	+	32857	no	no	-0.125366056022683
3480	0.010223642172524	0.0073394495412844	chr15	99191767	99507759	IGF1R	0	+	315993	yes	down	-0.478165477844308
3482	0.0137659783677483	0.00592417061611374	chr6	160390130	160527583	IGF2R	0	+	137454	no	no	-1.21642205201993
3483	0.125	0.153846153846154	chr16	1840413	1844909	IGFALS	0	-	4497	no	no	0.299560281858908
3485	0.0582847626977519	0.0343300110741971	chr2	217498126	217529158	IGFBP2	0	+	31033	no	no	-0.763648448333315
3489	0.133333333333333	0.0697674418604651	chr12	53491435	53496128	IGFBP6	0	+	4694	no	no	-0.934411658372423
3491	0.375661375661376	0.267894516534115	chr1	86046443	86049648	CYR61	0	+	3206	no	no	-0.487767738852579
3508	0.0634218289085546	0.04099560761347	chr11	68671318	68708069	IGHMBP2	0	+	36752	no	no	-0.62951013779824
3516	0.00619578686493185	0.00814332247557003	chr4	26321331	26436752	RBPJ	0	+	115422	no	no	0.394330017907601
3550	0.160130718954248	0.121673003802281	chr5	140027383	140042065	IK	0	+	14683	no	no	-0.396240990714859
3551	0.0160067396798652	0.020125786163522	chr8	42128819	42190171	IKBKB	0	+	61353	no	no	0.330365656026603
3556	0.00884955752212389	0.0146520146520147	chr3	190231839	190374986	IL1RAP	0	+	143148	yes	down	0.727421821495335
3566	0.0196158561503882	0.0137963843958135	chr16	27325229	27376099	IL4R	0	+	50871	no	no	-0.507730073476373
3570	0.113095238095238	0.0415841584158416	chr1	154377668	154441926	IL6R	0	+	64259	no	no	-1.44343224552522
3572	0.0738137082601054	0.0256	chr5	55230924	55290821	IL6ST	0	-	59898	no	no	-1.52774496002163
3576	0.375	0.333333333333333	chr4	74606222	74609433	CXCL8	0	+	3212	yes	down	-0.169925001442312
3587	0.465116279069767	0.130434782608696	chr11	117857105	117872199	IL10RA	0	+	15095	no	no	-1.83426279552112
3588	0.0425985090521832	0.0210057288351369	chr21	34638664	34669539	IL10RB	0	+	30876	yes	up	-1.02002009316933
3589	0.0662650602409639	0.0869565217391304	chr19	55875749	55881831	IL11	0	-	6083	no	no	0.392045856652614
3590	0.101010101010101	0.0689655172413793	chr9	34652181	34661898	IL11RA	0	+	9718	yes	up	-0.550552469935325
3592	1.1	0.333333333333333	chr3	159706622	159713806	IL12A	0	+	7185	no	no	-1.72246602447109
3597	0.137028483448807	0.0615482233502538	chrX	117861558	117928496	IL13RA1	0	+	66939	no	no	-1.15468669278777
3600	0.0181159420289855	0.0152091254752852	chr4	142557748	142655140	IL15	0	+	97393	no	no	-0.252322627401496
3601	0.0576923076923077	0.0187617260787993	chr10	5994333	6020150	IL15RA	0	-	25818	no	no	-1.62058641045188
3606	0.0202571094663031	0.00822784810126582	chr11	112013973	112034840	IL18	0	-	20868	no	no	-1.29984126248905
3607	0.0205615428247306	0.0159717552118359	chr17	80477593	80562483	FOXK2	0	+	84891	no	no	-0.364425654416224
3608	0.0851063829787234	0.0482695810564663	chr1	153634263	153643504	ILF2	0	-	9242	no	no	-0.818153032764362
3609	0.0180810028929605	0.0139731083575007	chr19	10764936	10803095	ILF3	0	+	38160	no	no	-0.371821713413693
3611	0.132616487455197	0.0442708333333333	chr11	6624937	6632105	ILK	0	+	7169	no	no	-1.58283171327058
3612	0.0916030534351145	0.0844370860927152	chr8	82569150	82598589	IMPA1	0	-	29440	no	no	-0.117518896537289
3613	0.197885196374622	0.0816326530612245	chr18	11981426	12030885	IMPA2	0	+	49460	no	no	-1.27744543884544
3614	0.055793991416309	0.0128205128205128	chr7	128032330	128050036	IMPDH1	0	-	17707	no	no	-2.12165579234906
3615	0.437369519832985	0.308988764044944	chr3	49061761	49066875	IMPDH2	0	-	5115	no	no	-0.50129830540491
3619	0.021505376344086	0.0151057401812689	chr11	61891444	61920635	INCENP	0	+	29192	no	no	-0.509600500811824
3621	0.0119047619047619	0.00979751796211626	chr13	111364969	111373421	ING1	0	+	8453	yes	up	-0.281050549112509
3622	0.183333333333333	0.132530120481928	chr4	184426202	184433581	ING2	0	+	7380	no	no	-0.468148835738406
3628	0.0767754318618042	0.0314569536423841	chr2	191208195	191236391	INPP1	0	+	28197	no	no	-1.28726575849035
3631	0.0174897119341564	0.00829383886255924	chr2	99061320	99207496	INPP4A	0	+	146177	no	no	-1.07639460429414
3632	0.0142045454545455	0.00947268708556994	chr10	134351352	134596984	INPP5A	0	+	245633	no	no	-0.584507032669737
3633	0.00695410292072323	0.0128369704749679	chr1	38326368	38412729	INPP5B	0	-	86362	no	no	0.884368442377629
3636	0.0104031209362809	0.0156438026474128	chr11	71935881	71950188	INPPL1	0	+	14308	no	no	0.588574839332574
3638	0.395161290322581	0.214689265536723	chr7	155089485	155101945	INSIG1	0	+	12461	no	no	-0.880191570367745
3643	0.0390625	0.0111336032388664	chr19	7112265	7294011	INSR	0	-	181747	no	no	-1.81086370783474
3646	0.0144878706199461	0.0100383820490109	chr8	109213971	109260959	EIF3E	0	-	46989	no	no	-0.529318808325112
3651	0.466666666666667	0.0625	chr13	28494167	28500451	PDX1	0	+	6285	no	no	-2.90046432644909
3652	0.251811594202899	0.132398753894081	chr1	46159997	46216485	IPP	0	-	56489	no	no	-0.92745516692994
3654	0.0419894007337954	0.0220868240670221	chrX	153275956	153285342	IRAK1	0	-	9387	no	no	-0.926839214390931
3655	0.0631286853971557	0.0231229597388466	chr2	173292313	173371181	ITGA6	0	+	78869	no	no	-1.44896963385512
3656	0.0445205479452055	0.0303951367781155	chr3	10206562	10285427	IRAK2	0	+	78866	no	no	-0.550630838108954
3658	0.0117016089712335	0.0104211897524967	chr15	78730517	78793798	IREB2	0	+	63282	no	no	-0.167186919312994
3659	0.296803652968037	0.176608187134503	chr5	131817300	131826465	IRF1	0	-	9166	no	no	-0.748956623875462
3660	0.00721153846153846	0.00506329113924051	chr4	185308875	185395726	IRF2	0	-	86852	no	no	-0.510231625644529
3661	0.0329985652797704	0.0206896551724138	chr19	50162825	50169132	IRF3	0	-	6308	no	no	-0.673493699482368
3663	0.101010101010101	0.0723860589812333	chr7	128577990	128590096	IRF5	0	+	12107	no	no	-0.480715792899522
3664	0.205202312138728	0.0903426791277259	chr1	209958967	209979520	IRF6	0	-	20554	no	no	-1.18356738386269
3665	0.216101694915254	0.154334038054968	chr11	612554	615999	IRF7	0	-	3446	yes	up	-0.485654107069032
3667	0.00542005420054201	0.00619578686493185	chr2	227596032	227663506	IRS1	0	-	67475	no	no	0.192980237669978
3669	0.227920227920228	0.0894568690095847	chr15	89182038	89198879	ISG20	0	+	16842	no	no	-1.34926479945782
3670	0.461538461538462	0.4	chr5	50678957	50690563	ISL1	0	+	11607	no	no	-0.206450877467426
3672	0.0122324159021407	0.00346020761245675	chr5	52084135	52249485	ITGA1	0	+	165351	no	no	-1.8217788570026
3673	0.00810810810810811	0.00428784489187174	chr5	52285155	52390609	ITGA2	0	+	105455	no	no	-0.919112606052305
3675	0.00836649321497806	0.00838825644098262	chr17	48133339	48167849	ITGA3	0	+	34511	no	no	0.0037479182361408
3678	0.0538194444444444	0.0341296928327645	chr12	54789044	54813050	ITGA5	0	-	24007	no	no	-0.657100068479448
3682	0.0181311018131102	0.0102362204724409	chr17	3617918	3704537	ITGAE	0	-	86620	no	no	-0.824783472957623
3685	0.0840630472854641	0.0505212510024058	chr2	187454789	187545629	ITGAV	0	+	90841	no	no	-0.734581391688067
3688	0.0353093618399741	0.0188972876834149	chr10	33189245	33247293	ITGB1	0	-	58049	no	no	-0.901871566801917
3690	0.0555555555555556	0.0714285714285714	chr17	45331207	45390077	ITGB3	0	+	58871	no	no	0.362570079384708
3691	0.00704713493530499	0.00607072393382911	chr17	73717515	73753899	ITGB4	0	+	36385	no	no	-0.215168270274792
3692	0.0709117221418234	0.0513059701492537	chr20	33866708	33872619	EIF6	0	-	5912	no	no	-0.466897420660062
3693	0.020687237026648	0.0160242529233434	chr3	124481794	124606144	ITGB5	0	-	124351	no	no	-0.368483875063119
3696	0.0736301369863014	0.103678929765886	chr7	20370724	20455382	ITGB8	0	+	84659	yes	down	0.49375444036669
3703	0.0632458233890215	0.0397111913357401	chr11	125462689	125492654	STT3A	0	+	29966	no	no	-0.671424568275738
3704	0.00727272727272727	0.011070110701107	chr20	3189513	3204516	ITPA	0	+	15004	no	no	0.606101267779307
3705	0.014367816091954	0.0044269552385637	chr14	93403258	93582263	ITPK1	0	-	179006	no	no	-1.69845409744105
3706	0.310810810810811	0.213114754098361	chr15	41786055	41795757	ITPKA	0	+	9703	no	no	-0.544406209849857
3708	0.0915492957746479	0.0216049382716049	chr3	4535031	4889524	ITPR1	0	+	354494	yes	up	-2.08318767946343
3709	0.0299896587383661	0.00701402805611222	chr12	26488284	26986131	ITPR2	0	-	497848	no	no	-2.09614999893039
3710	0.0112336176409403	0.00685622101230087	chr6	33589155	33664348	ITPR3	0	+	75194	no	no	-0.712337082788703
3712	0.068696330991413	0.0597243491577335	chr15	40697685	40713512	IVD	0	+	15828	no	no	-0.201913820979833
3714	0.0116906474820144	0.0109797297297297	chr14	105607317	105635161	JAG2	0	-	27845	yes	down	-0.0905122929054423
3716	0.0544474393530997	0.0195907705703091	chr1	65298905	65432187	JAK1	0	-	133283	no	no	-1.47469005629188
3717	0.032114183764496	0.00969425801640567	chr9	4985244	5128183	JAK2	0	+	142940	no	no	-1.72800824240027
3720	0.00375872561303025	0.00170212765957447	chr6	15246205	15522273	JARID2	0	+	276069	no	no	-1.14290435927709
3725	0.355311355311355	0.251469627694317	chr1	59246462	59249785	JUN	0	-	3324	no	no	-0.498699633184799
3726	1.34939759036145	0.509311740890688	chr19	12902309	12904125	JUNB	0	+	1817	yes	up	-1.40569461030343
3727	0.88062015503876	0.709401709401709	chr19	18390503	18392466	JUND	0	-	1964	no	no	-0.311917057430545
3728	0.0670769230769231	0.0252145922746781	chr17	39910858	39942964	JUP	0	-	32107	no	no	-1.41155761495039
3732	0.0674157303370786	0.0677966101694915	chr11	44587140	44641315	CD82	0	+	54176	no	no	0.0081278808834004
3735	0.157936507936508	0.0801242236024845	chr16	75661621	75681585	KARS	0	-	19965	no	no	-0.979034319735095
3748	0.00062111801242236	0.000656598818122127	chr19	50815198	50836772	KCNC3	0	-	21575	no	no	0.0801447465146869
3749	0.0621951219512195	0.0255102040816327	chr1	110753335	110776674	KCNC4	0	+	23340	no	no	-1.2857269916939
3750	0.135802469135802	0.109090909090909	chrX	48818638	48828251	KCND1	0	-	9614	no	no	-0.315978828556176
3754	0.538461538461538	0.178571428571429	chr2	11052062	11054351	KCNF1	0	+	2290	yes	down	-1.59234203108675
3755	0.137668918918919	0.0994974874371859	chr20	49620192	49639675	KCNG1	0	-	19484	no	no	-0.468470883953529
3757	0.0782608695652174	0.0536912751677852	chr7	150642043	150675402	KCNH2	0	-	33360	no	no	-0.543603470960099
3762	0.0128205128205128	0.0454545454545455	chr11	128761312	128787951	KCNJ5	0	+	26640	no	no	1.82597060022495
3767	0.166666666666667	0.2	chr11	17406795	17410878	KCNJ11	0	-	4084	yes	down	0.263034405833794
3768	0.0925039872408294	0.0738636363636364	chr17	21279698	21323179	KCNJ12	0	+	43482	no	no	-0.324651262821738
3770	0.0150375939849624	0.0134983127109111	chr19	48958963	48969367	KCNJ14	0	+	10405	yes	up	-0.155794672607424
3775	0.0200617283950617	0.0178571428571429	chr1	233749749	233808258	KCNK1	0	+	58510	no	no	-0.167944637314072
3780	0.0113207547169811	0.0126582278481013	chr19	18062110	18109930	KCNN1	0	+	47821	no	no	0.161105300552303
3782	0.116883116883117	0.0271739130434783	chr1	154669941	154842754	KCNN3	0	-	172814	yes	up	-2.10477232191706
3783	0.0265104808877928	0.0207587687902649	chr19	44270684	44285409	KCNN4	0	-	14726	no	no	-0.352841960766716
3784	0.0515378221113882	0.026431718061674	chr11	2466220	2870340	KCNQ1	0	+	404121	no	no	-0.963361369780558
3785	0.0525886669384427	0.0247139588100686	chr20	62037541	62103993	KCNQ2	0	-	66453	no	no	-1.08942579909014
3795	0.100917431192661	0.0845070422535211	chr2	27309610	27323619	KHK	0	+	14010	no	no	-0.256031912643897
3796	0.0310756972111554	0.0175109443402126	chr5	61601988	61683011	KIF2A	0	+	81024	no	no	-0.827529871446842
3797	0.0245901639344262	0.0208333333333333	chr2	26149454	26205443	KIF3C	0	-	55990	no	no	-0.239187663879426
3798	0.046875	0.0452830188679245	chr12	57943846	57978554	KIF5A	0	+	34709	no	no	-0.0498485494505617
3799	0.199392097264438	0.0768031189083821	chr10	32297937	32345371	KIF5B	0	-	47435	no	no	-1.37637142703352
3800	0.0460122699386503	0.0379746835443038	chr2	149632791	149883273	KIF5C	0	+	250483	no	no	-0.276980688833388
3801	0.0173716012084592	0.00817527795945062	chr16	57792128	57836439	KIFC3	0	-	44312	no	no	-1.08739105083588
3822	0.2	0.157894736842105	chr12	10583205	10588592	KLRC2	0	-	5388	no	no	-0.341036917835067
3823	0.0909090909090909	0.0454545454545455	chr12	10564913	10573194	KLRC3	0	-	8282	no	no	-1
3831	0.0310254735467015	0.0156926406926407	chr14	104095524	104167888	KLC1	0	+	72365	no	no	-0.983365087119646
3832	0.0400534045393858	0.031277926720286	chr10	94352824	94415152	KIF11	0	+	62329	no	no	-0.356779991181195
3835	0.0994897959183673	0.0421155729676787	chr16	29802033	29816706	KIF22	0	+	14674	no	no	-1.24019477092274
3836	0.0630105017502917	0.0282758620689655	chr3	122140747	122233786	KPNA1	0	-	93040	no	no	-1.15602128833518
3837	0.0293145250165307	0.0217681030653043	chr17	45727203	45761004	KPNB1	0	+	33802	no	no	-0.429399988489393
3838	0.0981949458483754	0.0641341884558461	chr17	66031847	66042970	KPNA2	0	+	11124	no	no	-0.614555140752233
3839	0.0126903553299492	0.0132415254237288	chr13	50273442	50367057	KPNA3	0	-	93616	no	no	0.0613368649818973
3840	0.0254306808859721	0.0161176053843429	chr3	160212782	160283376	KPNA4	0	-	70595	no	no	-0.65793267301766
3841	0.0216606498194946	0.0310880829015544	chr6	117002366	117063030	KPNA5	0	+	60665	no	no	0.521285128781108
3842	0.0138144911192557	0.00464190981432361	chr5	72112417	72210215	TNPO1	0	+	97799	no	no	-1.57339202039108
3845	0.044167610419026	0.0184331797235023	chr12	25357722	25403865	KRAS	0	-	46144	no	no	-1.26068382365826
3856	0.0018100639555931	0.00306716023268112	chr12	53290970	53343650	KRT8	0	-	52681	no	no	0.760862863518693
3866	0.105263157894737	0.102040816326531	chr17	39669996	39675270	KRT15	0	-	5275	yes	down	-0.0448542357842603
3875	0.0580099884748367	0.028719723183391	chr12	53342654	53346685	KRT18	0	+	4032	yes	down	-1.01425948896208
3880	0.0650095602294455	0.0379746835443038	chr17	39679868	39684641	KRT19	0	-	4774	no	no	-0.775613952459345
3895	0.0161254199328108	0.00882594417077176	chr14	56046924	56151302	KTN1	0	+	104379	no	no	-0.869514204637962
3897	0.0608552631578947	0.0517241379310345	chrX	153126968	153151628	L1CAM	0	-	24661	no	no	-0.23454434659178
3898	0.0660086366440469	0.0373502466525722	chr1	201349965	201368669	LAD1	0	-	18705	yes	down	-0.821537030380957
3902	0.166666666666667	0.125523012552301	chr12	6881669	6887621	LAG3	0	+	5953	yes	up	-0.409013711651074
3909	0.00622406639004149	0.00392927308447937	chr18	21269561	21535029	LAMA3	0	+	265469	no	no	-0.66359501056689
3911	0.020079654829074	0.00717131474103586	chr20	60884115	60942368	LAMA5	0	-	58254	no	no	-1.48542492707595
3912	0.0403726708074534	0.0234986945169713	chr7	107564245	107643804	LAMB1	0	-	79560	no	no	-0.78079842050912
3913	0.0319488817891374	0.0193905817174515	chr3	49158546	49170599	LAMB2	0	-	12054	no	no	-0.720409352784311
3914	0.008	0.00729166666666667	chr1	209788217	209825820	LAMB3	0	-	37604	yes	down	-0.133751388888827
3915	0.0224071702944942	0.0123456790123457	chr1	182992594	183114727	LAMC1	0	+	122134	no	no	-0.859954281687612
3916	0.0661538461538462	0.0422680412371134	chr13	113951468	113977741	LAMP1	0	+	26274	no	no	-0.646257779242687
3918	0.0257510729613734	0.0190735694822888	chr1	183155173	183214262	LAMC2	0	+	59090	no	no	-0.433057686852485
3920	0.0622568093385214	0.0304635761589404	chrX	119560002	119603204	LAMP2	0	-	43203	no	no	-1.03114632896155
3921	0.156307692307692	0.133477633477633	chr3	39448203	39454032	RPSA	0	+	5830	no	no	-0.227790765589888
3925	0.0567786790266512	0.0342522974101921	chr1	26210676	26233368	STMN1	0	-	22693	no	no	-0.729148527261671
3927	0.0280612244897959	0.0136701337295691	chr17	37026111	37078023	LASP1	0	+	51913	no	no	-1.03755060796276
3930	0.0202702702702703	0.0046801872074883	chr1	225589203	225616557	LBR	0	-	27355	no	no	-2.11472718098979
3931	0.0551378446115288	0.0570866141732283	chr16	67973786	67978015	LCAT	0	-	4230	no	no	0.050109625940455
3932	0.0263157894736842	0.027027027027027	chr1	32716839	32751768	LCK	0	+	34930	no	no	0.0384741478146359
3939	0.2557497700092	0.183738541251495	chr11	18415935	18429765	LDHA	0	+	13831	no	no	-0.477078662676033
3945	0.0343417825020442	0.0241448692152917	chr12	21788274	21810789	LDHB	0	-	22516	no	no	-0.508248275092503
3949	0.0229220649790712	0.00836213624707325	chr19	11200037	11244505	LDLR	0	+	44469	yes	up	-1.45479356295742
3953	0.0648148148148148	0.0185497470489039	chr1	65886334	66103176	LEPR	0	+	216843	no	no	-1.80492409580284
3954	0.0417827298050139	0.0296397628818969	chr4	1813205	1857974	LETM1	0	-	44770	no	no	-0.495372845430606
3956	0.112211221122112	0.0399274047186933	chr22	38071612	38075809	LGALS1	0	+	4198	no	no	-1.49076574771125
3958	0.124555160142349	0.0439716312056738	chr14	55595934	55612148	LGALS3	0	+	16215	no	no	-1.50213983362332
3959	0.036504854368932	0.0173877881116053	chr17	76967334	76976061	LGALS3BP	0	-	8728	no	no	-1.07001390440753
3976	0.0152511175387852	0.0238095238095238	chr22	30636435	30642840	LIF	0	-	6406	yes	down	0.642623805724259
3978	0.0336597307221542	0.0304219823356232	chr19	48618701	48673860	LIG1	0	-	55160	no	no	-0.145909471157915
3980	0.201077199281867	0.101626016260163	chr17	33307516	33332088	LIG3	0	+	24573	yes	down	-0.984479720282088
3981	0.154639175257732	0.0622568093385214	chr13	108859791	108870716	LIG4	0	-	10926	no	no	-1.31260230261527
3984	0.0349554489376285	0.0159663865546218	chr7	73498106	73536855	LIMK1	0	+	38750	no	no	-1.13047951880532
3985	0.0890360559234731	0.038295243977764	chr22	31608249	31676066	LIMK2	0	+	67818	no	no	-1.21722445642289
3987	0.111547525530244	0.0661264181523501	chr2	109150810	109303702	LIMS1	0	+	152893	no	no	-0.754359847668609
3988	0.192691029900332	0.104761904761905	chr10	90973325	91011796	LIPA	0	-	38472	no	no	-0.879175217396695
3991	0.00537634408602151	0.00746268656716418	chr19	42905658	42931578	LIPE	0	-	25921	no	no	0.473069620650259
3992	0.038659793814433	0.0163370593293207	chr11	61567096	61584529	FADS1	0	-	17434	no	no	-1.24268562145102
3993	0.0559440559440559	0.0453774385072095	chr17	73521782	73571290	LLGL2	0	+	49509	no	no	-0.302009679800226
3995	0.135464231354642	0.113785557986871	chr11	61640994	61659017	FADS3	0	-	18024	no	no	-0.251594507561046
3996	0.0818030050083473	0.0343213728549142	chr17	18128935	18148188	LLGL1	0	+	19254	no	no	-1.25304657930787
3998	0.0675182481751825	0.0211161387631976	chr18	56995055	57026508	LMAN1	0	-	31454	no	no	-1.67693142072341
4000	0.00362056480811007	0.00105730598435187	chr1	156052336	156109880	LMNA	0	+	57545	no	no	-1.77582182219975
4001	0.00835654596100279	0.0023094688221709	chr5	126112314	126172712	LMNB1	0	+	60399	no	no	-1.85534568162483
4007	0.0427350427350427	0.0284090909090909	chrX	49031905	49042776	PRICKLE3	0	-	10872	no	no	-0.589066899053893
4008	0.00764655904842821	0.00318181818181818	chr13	76194569	76434006	LMO7	0	+	239438	no	no	-1.26495928275829
4012	0.134868421052632	0.0767172167707404	chr5	96271345	96365115	LNPEP	0	+	93771	no	no	-0.813930299277827
4013	0.735294117647059	0.232558139534884	chr11	123986110	124017618	VWA5A	0	+	31509	no	no	-1.66073000833912
4016	0.03035413153457	0.0131578947368421	chr15	74218788	74244478	LOXL1	0	+	25691	no	no	-1.20596422033989
4017	0.0205620287868403	0.0189035916824197	chr8	23154409	23261722	LOXL2	0	-	107314	no	no	-0.121322244917291
4026	0.00164230579733946	0.00124773847401585	chr3	187871662	188608460	LPP	0	+	736799	no	no	-0.396407204939354
4034	0.621676891615542	0.375626043405676	chr7	100171633	100183811	LRCH4	0	-	12179	no	no	-0.7268678600631
4035	0.0524017467248908	0.0487804878048781	chr12	57522281	57607125	LRP1	0	+	84845	no	no	-0.103310717242296
4037	0.0434782608695652	0.0228013029315961	chr19	33685598	33699773	LRP3	0	+	14176	no	no	-0.931177967255562
4038	0.0906515580736544	0.0612244897959184	chr11	46878267	46940173	LRP4	0	-	61907	no	no	-0.566222970122872
4040	0.0427774333539988	0.0256260920209668	chr12	12268960	12419811	LRP6	0	-	150852	no	no	-0.739236438987363
4041	0.00890358687356907	0.00671345743057675	chr11	68080076	68216743	LRP5	0	+	136668	no	no	-0.407330707426335
4043	0.102345415778252	0.0393574297188755	chr4	3505323	3534224	LRPAP1	0	-	28902	no	no	-1.37873857104601
4047	0.0659340659340659	0.0314569536423841	chr21	47608359	47648738	LSS	0	-	40380	no	no	-1.06764508640395
4051	0.0476190476190476	0.0555555555555556	chr19	15751706	15771570	CYP4F3	0	+	19865	no	no	0.222392421336448
4052	0.0184615384615385	0.017156862745098	chr2	33172368	33624575	LTBP1	0	+	452208	no	no	-0.105737012719231
4054	0.00819672131147541	0.00588235294117647	chr11	65306029	65325699	LTBP3	0	-	19671	no	no	-0.478653598574815
4055	0.00280701754385965	0.0013745704467354	chr12	6484533	6500737	LTBR	0	+	16205	no	no	-1.03005723385618
4056	0.0288065843621399	0.0343137254901961	chr5	179220985	179223513	LTC4S	0	+	2529	no	no	0.252387161634285
4058	0.220588235294118	0.0818181818181818	chr15	41795839	41806085	LTK	0	-	10247	no	no	-1.43086246644053
4059	0.0563380281690141	0.0338578922269909	chr19	45312315	45324678	BCAM	0	+	12364	no	no	-0.734616907087228
4061	0.540178571428571	0.224489795918367	chr8	144099901	144103827	LY6E	0	+	3927	no	no	-1.2667865406949
4066	2.4	0.428571428571429	chr19	13209841	13213974	LYL1	0	-	4134	no	no	-2.48542682717024
4067	0.0646108663729809	0.0251012145748988	chr8	56792385	56925006	LYN	0	+	132622	no	no	-1.36401964671039
4072	0.044543429844098	0.0266666666666667	chr2	47596286	47614167	EPCAM	0	+	17882	no	no	-0.740175150642096
4074	0.59375	0.272357723577236	chr12	9092956	9102357	M6PR	0	-	9402	no	no	-1.12435282832505
4076	0.0346975088967972	0.0179456906729634	chr11	34073229	34124157	CAPRIN1	0	+	50929	no	no	-0.951194639417298
4077	0.0242290748898678	0.0121951219512195	chr17	41322487	41363708	NBR1	0	+	41222	no	no	-0.990435135964466
4082	0.0555555555555556	0.0461538461538462	chr6	114178526	114184652	MARCKS	0	+	6127	no	no	-0.267480310864986
4084	0.4	0.188235294117647	chr2	70142172	70170076	MXD1	0	+	27905	yes	up	-1.08746284125034
4085	0.471910112359551	0.179310344827586	chr4	120980578	120988013	MAD2L1	0	-	7436	no	no	-1.3960533636862
4086	0.10955710955711	0.0489795918367347	chr4	146402950	146480325	SMAD1	0	+	77376	no	no	-1.16143045245951
4087	0.0202767943353717	0.00878787878787879	chr18	45359465	45457517	SMAD2	0	-	98053	no	no	-1.20624271138368
4088	0.0104205090372556	0.00522657770364192	chr15	67358194	67487533	SMAD3	0	+	129340	no	no	-0.995487251922581
4089	0.0568910256410256	0.0337078651685393	chr18	48556582	48611411	SMAD4	0	+	54830	no	no	-0.755115830887675
4090	0.0526315789473684	0.0395738203957382	chr5	135468533	135518422	SMAD5	0	+	49890	no	no	-0.411382328737652
4091	0.0189944134078212	0.00939597315436242	chr15	66994673	67074337	SMAD6	0	+	79665	yes	down	-1.01546066239064
4093	0.133333333333333	0.0344827586206897	chr13	37418967	37494409	SMAD9	0	-	75443	no	no	-1.95109039951905
4097	0.0760309278350515	0.0335758254057079	chr17	79876144	79885587	MAFG	0	-	9444	yes	up	-1.17916353060769
4113	0.366863905325444	0.121495327102804	chrX	30233674	30238206	MAGEB2	0	+	4533	no	no	-1.59434414236475
4116	0.123123123123123	0.0595482546201232	chr1	53692563	53704282	MAGOH	0	-	11720	no	no	-1.04797060450159
4117	0.0481927710843374	0.0535714285714286	chr6	10762955	10838788	MAK	0	-	75834	no	no	0.152647010010477
4121	0.0175015087507544	0.00827004219409283	chr6	119498365	119670931	MAN1A1	0	-	172567	no	no	-1.0815127024639
